PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2050,2002-03,00,1610612761,TOR,25.0,82,80,2945.0,421,1073,0.392,116,344,0.337,195,247,0.789,97,266,363,188,88,32,128,232,1153
15,2002-03,00,1610612746,LAC,32.0,62,26,1361.0,210,446,0.471,80,201,0.398,101,122,0.828,44,112,156,70,33,9,56,92,601
1718,2002-03,00,1610612738,BOS,25.0,79,79,3097.0,663,1592,0.416,118,391,0.302,604,753,0.802,106,472,578,349,139,62,288,227,2048
937,2002-03,00,1610612757,POR,37.0,64,58,1911.0,265,597,0.444,38,133,0.286,121,148,0.818,57,221,278,285,105,25,164,149,689
1513,2002-03,00,1610612758,SAC,28.0,23,0,324.0,40,87,0.46,0,0,0.0,23,38,0.605,46,60,106,6,13,15,15,50,103
1899,2002-03,00,1610612743,DEN,26.0,25,24,872.0,121,324,0.373,24,88,0.273,86,102,0.843,38,107,145,78,29,6,66,63,352
1899,2002-03,00,1610612745,HOU,26.0,58,47,1646.0,188,428,0.439,46,141,0.326,119,144,0.826,52,229,281,106,77,9,78,134,541
1899,2002-03,00,0,TOT,26.0,83,71,2518.0,309,752,0.411,70,229,0.306,205,246,0.833,90,336,426,184,106,15,144,197,893
2068,2002-03,00,1610612752,NYK,25.0,12,0,99.0,14,38,0.368,2,7,0.286,13,15,0.867,1,3,4,3,2,0,7,9,43
958,2002-03,00,1610612760,SEA,28.0,26,2,401.0,41,93,0.441,0,0,0.0,22,29,0.759,25,64,89,4,9,8,25,46,104
2419,2002-03,00,1610612765,DET,23.0,42,5,435.0,53,118,0.449,20,47,0.426,11,17,0.647,5,40,45,24,10,14,21,25,137
2038,2002-03,00,1610612749,MIL,23.0,32,17,547.0,18,46,0.391,0,0,0.0,12,24,0.5,48,97,145,12,10,45,19,85,48
2209,2002-03,00,1610612760,SEA,22.0,72,16,1910.0,274,668,0.41,104,293,0.355,72,102,0.706,76,247,323,97,64,22,100,136,724
2080,2002-03,00,1610612750,MIN,25.0,42,0,240.0,22,58,0.379,5,12,0.417,29,36,0.806,4,13,17,33,4,0,23,25,78
2216,2002-03,00,1610612757,POR,21.0,77,11,1301.0,264,515,0.513,0,5,0.0,122,161,0.758,139,204,343,41,42,14,62,141,650
689,2002-03,00,1610612737,ATL,30.0,81,81,2518.0,276,595,0.464,0,0,0.0,154,214,0.72,154,453,607,73,56,262,137,271,706
1442,2002-03,00,1610612765,DET,31.0,30,12,490.0,80,145,0.552,0,0,0.0,38,48,0.792,27,65,92,9,6,17,29,79,198
2072,2002-03,00,1610612749,MIL,23.0,82,14,2316.0,455,971,0.469,182,416,0.438,149,185,0.805,98,273,371,117,100,13,74,143,1241
690,2002-03,00,1610612765,DET,29.0,1,0,10.0,0,3,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,4,1
981,2002-03,00,1610612755,PHI,27.0,35,0,143.0,20,59,0.339,4,8,0.5,8,9,0.889,10,16,26,7,6,2,4,21,52
779,2002-03,00,1610612745,HOU,36.0,62,26,1534.0,196,457,0.429,101,254,0.398,63,83,0.759,28,126,154,65,23,5,55,99,556
2202,2002-03,00,1610612744,GSW,22.0,82,82,2697.0,476,1161,0.41,123,334,0.368,207,271,0.764,111,267,378,247,90,23,179,201,1282
